year,ind2d,sale_D,cogs_D,xsga_D,kexp,theta_WI1_ct,theta_WI1_kt,theta_WI2_ct,theta_WI2_xt,theta_WI2_kt,ratio_DLEU_PF1_cap_noncap,ratio_DLEU_PF2_cap_noncap,ratio_DLEU_CS_cap_noncap,ratio_DLEU_PS_profits_go
1996,21,316633160.3838882,217427825.2922363,25456800.4865036,80621315.07690048,.73905534,.29457334,.65216476,.1241113,.29706892,.39858091,.38268465,.33193254,-.021705814
1997,21,294303989.9380264,206201547.3523941,25387908.37650299,80775985.63455582,.72616613,.31413475,.64373732,.15016,.30753845,.43259349,.38737813,.34878957,-.061370052
1998,21,262719065.777565,201848096.4793243,22763157.96648407,84308344.84394312,.69565886,.35392958,.61537117,.22364432,.33720985,.50876886,.40191135,.37535226,-.17585528
1999,21,253422688.311924,180325612.9124527,18433853.51994324,76509656.88253641,.70167142,.37764674,.61595792,.2283605,.35349199,.53821021,.41867143,.38493592,-.08620552
2000,21,308240930.3730659,214988925.8239822,19556753.35514069,74613687.13139327,.69353855,.31206056,.60609317,.27581143,.28971782,.44995418,.3285138,.31812006,-.0029796041
2001,21,277522725.1085968,189929794.5862885,20382895.49384689,64730052.61511946,.66143602,.36417314,.57713455,.27358866,.33200371,.55057955,.39026055,.30778006,.0089361416
2002,21,275976203.4134941,197186963.2933655,20730711.97164154,60939067.77968597,.66656959,.30786952,.59261596,.18482295,.30111381,.46187153,.38731509,.27964261,-.010437638
2003,21,391217666.0058241,275092015.8973122,24506269.85180664,68929138.0709846,.68227839,.25773165,.62555248,.18364111,.23622626,.37775144,.29192799,.23007187,.057999022
2004,21,462422250.1474123,318961328.2720642,25523970.88212585,72122044.08735466,.7044884,.19880399,.67501706,.18646803,.16139834,.28219625,.18734896,.20936175,.099075913
2005,21,574422287.5822563,385577296.7326012,28054307.09390259,87841315.91249466,.71609795,.20127958,.69961452,.20442089,.14415404,.28107828,.15945619,.21236606,.12699606
